Producto,Categoría del Producto,Precio,Costo de envío,Fecha de Compra,Vendedor,Lugar de Compra,Calificación,Método de pago,Cantidad de cuotas,lat,lon,Sucursal,Ingreso
Smartwatch,Electrónicos,133600.0,7300.0,2021-12-06,Mariana Herrera,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,126300.0
Asistente virtual,Electrónicos,214100.0,9600.0,2022-02-25,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,204500.0
Balón de voleibol,Deportes y diversión,40300.0,2500.0,2023-01-11,Izabela de León,Pasto,2,Tarjeta de crédito,4,1.21361,-77.28111,Tienda 1,37800.0
Juego de mesa,Juguetes,233800.0,10600.0,2020-12-25,Maria Alfonso,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 1,223200.0
Ciencia de datos con Python,Libros,49600.0,3300.0,2020-01-11,Camila Rivera,Medellín,1,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,46300.0
Balón de baloncesto,Deportes y diversión,55800.0,3600.0,2021-08-10,Blanca Ramirez,Pereira,5,Nequi,1,4.81333,-75.69611,Tienda 1,52200.0
Mesa de centro,Muebles,157900.0,6600.0,2021-10-16,Juliana Costa,Pereira,5,Nequi,1,4.81333,-75.69611,Tienda 1,151300.0
Vaso térmico,Deportes y diversión,53500.0,1000.0,2020-02-13,Pedro Gomez,Cali,5,Tarjeta de crédito,2,3.43722,-76.5225,Tienda 1,52500.0
Microondas,Electrodomésticos,657300.0,35700.0,2021-06-20,Pedro Gomez,Medellín,5,Tarjeta de crédito,8,6.25184,-75.56359,Tienda 1,621600.0
Iniciando en programación,Libros,33500.0,2000.0,2020-10-16,Juan Fernandez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,31500.0
Ajedrez de madera,Juguetes,20000.0,2100.0,2021-05-25,Juan Fernandez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,17900.0
Mesa de centro,Muebles,204100.0,9100.0,2021-11-23,Felipe Santos,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,195000.0
Microondas,Electrodomésticos,335300.0,18200.0,2020-03-30,Beatriz Morales,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,317100.0
Balón de voleibol,Deportes y diversión,42400.0,2700.0,2021-11-02,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,39700.0
Bloques de construcción,Juguetes,38800.0,2300.0,2021-09-04,Beatriz Morales,Medellín,4,Nequi,1,6.25184,-75.56359,Tienda 1,36500.0
Iniciando en programación,Libros,44500.0,2800.0,2022-10-07,Beatriz Morales,Cali,5,Tarjeta de crédito,2,3.43722,-76.5225,Tienda 1,41700.0
Mesa de comedor,Muebles,228400.0,20000.0,2023-03-31,Felipe Santos,Bogotá,3,Nequi,1,4.60971,-74.08175,Tienda 1,208400.0
Armario,Muebles,518100.0,25800.0,2023-03-11,Ángel Rodriguez,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 1,492300.0
Juego de mesa,Juguetes,189800.0,10500.0,2020-02-03,Izabela de León,Bogotá,1,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,179300.0
Refrigerador,Electrodomésticos,1674300.0,87300.0,2022-05-14,Mariana Herrera,Santa Marta,4,Cupón,1,11.24079,-74.19904,Tienda 1,1587000.0
Silla de oficina,Muebles,523100.0,28200.0,2022-08-03,Izabela de León,Medellín,4,Tarjeta de crédito,4,6.25184,-75.56359,Tienda 1,494900.0
Sillón,Muebles,189900.0,8300.0,2021-09-25,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,181600.0
Cama king,Muebles,968700.0,49800.0,2021-05-08,Beatriz Morales,Barranquilla,3,Cupón,1,10.96854,-74.78132,Tienda 1,918900.0
Carrito de control remoto,Juguetes,80300.0,2500.0,2020-09-10,Blanca Ramirez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,77800.0
Cuerda para saltar,Deportes y diversión,11500.0,0.0,2021-03-21,Juliana Costa,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,11500.0
Balón de baloncesto,Deportes y diversión,43200.0,2700.0,2021-04-15,Izabela de León,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 1,40500.0
Cubo mágico 8x8,Juguetes,7600.0,0.0,2020-10-22,Camila Rivera,Bogotá,4,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,7600.0
Cama box,Muebles,708600.0,38400.0,2021-02-21,Mariana Herrera,Bogotá,4,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,670200.0
Muñeca bebé,Juguetes,45300.0,0.0,2022-04-22,Blanca Ramirez,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,45300.0
Juego de mesa,Juguetes,112600.0,4200.0,2022-02-26,Maria Alfonso,Medellín,2,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,108400.0
Lavadora de ropa,Electrodomésticos,1554400.0,81000.0,2021-12-02,Maria Alfonso,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,1473400.0
Cuerda para saltar,Deportes y diversión,20200.0,0.0,2023-03-16,Maria Alfonso,Bogotá,4,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,20200.0
Mochila,Deportes y diversión,110400.0,6400.0,2022-09-01,Santiago Silva,Cali,5,Tarjeta de crédito,4,3.43722,-76.5225,Tienda 1,104000.0
Olla de presión,Artículos para el hogar,76400.0,2300.0,2022-01-20,Felipe Santos,Manizales,4,Tarjeta de crédito,1,5.06889,-75.51738,Tienda 1,74100.0
Mesa de noche,Muebles,242400.0,13100.0,2020-01-14,Blanca Ramirez,Bogotá,3,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,229300.0
Mesa de comedor,Muebles,157900.0,13200.0,2021-05-02,Felipe Santos,Bogotá,3,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,144700.0
Cama box,Muebles,393400.0,21600.0,2020-04-27,Beatriz Morales,Santa Marta,5,Tarjeta de crédito,3,11.24079,-74.19904,Tienda 1,371800.0
Balón de baloncesto,Deportes y diversión,31700.0,1900.0,2021-01-12,Santiago Silva,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,29800.0
Lavavajillas,Electrodomésticos,1155100.0,59700.0,2022-07-08,Rafael Acosta,Bogotá,3,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,1095400.0
Juego de mesa,Juguetes,177100.0,7600.0,2020-12-06,Juliana Costa,Cartagena,4,Tarjeta de crédito,1,10.39972,-75.51444,Tienda 1,169500.0
TV LED UHD 4K,Electrónicos,2071300.0,110500.0,2021-06-18,Blanca Ramirez,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,1960800.0
Cama box,Muebles,395600.0,19300.0,2020-09-12,Camila Rivera,Cartagena,5,Tarjeta de crédito,10,10.39972,-75.51444,Tienda 1,376300.0
Carrito de control remoto,Juguetes,82900.0,6800.0,2020-08-05,Santiago Silva,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,76100.0
Asistente virtual,Electrónicos,253900.0,14200.0,2020-03-29,Maria Alfonso,Cali,3,Tarjeta de crédito,3,3.43722,-76.5225,Tienda 1,239700.0
Dashboards con Power BI,Libros,42900.0,3500.0,2021-01-24,Rafael Acosta,Santa Marta,2,Tarjeta de crédito,5,11.24079,-74.19904,Tienda 1,39400.0
Sillón,Muebles,223300.0,12100.0,2022-08-31,Santiago Silva,Cali,5,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 1,211200.0
Impresora,Electrónicos,326600.0,15600.0,2020-03-27,Izabela de León,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,311000.0
Ajedrez de madera,Juguetes,27800.0,0.0,2020-09-01,Ángel Rodriguez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,27800.0
Cama box,Muebles,505500.0,29300.0,2020-03-18,Izabela de León,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,476200.0
Guitarra eléctrica,Instrumentos musicales,931600.0,49800.0,2021-04-28,Juliana Costa,Medellín,5,Tarjeta de crédito,10,6.25184,-75.56359,Tienda 1,881800.0
Mesa de centro,Muebles,215100.0,11900.0,2021-11-07,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,203200.0
Bloques de construcción,Juguetes,40400.0,0.0,2022-12-22,Pedro Gomez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,40400.0
Carrito de control remoto,Juguetes,68200.0,4000.0,2020-06-16,Juan Fernandez,Pereira,5,Tarjeta de crédito,5,4.81333,-75.69611,Tienda 1,64200.0
Kit de bancas,Muebles,280400.0,16000.0,2022-07-14,Lucas Olivera,Medellín,4,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,264400.0
Mesa de noche,Muebles,260800.0,14300.0,2021-02-17,Blanca Ramirez,Medellín,1,Tarjeta de crédito,4,6.25184,-75.56359,Tienda 1,246500.0
Bloques de construcción,Juguetes,41000.0,8000.0,2020-10-09,Juan Fernandez,Bogotá,4,Nequi,1,4.60971,-74.08175,Tienda 1,33000.0
Mochila,Deportes y diversión,112200.0,4200.0,2022-02-13,Juliana Costa,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,108000.0
Cuerda para saltar,Deportes y diversión,10100.0,0.0,2022-02-14,Felipe Santos,Medellín,1,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,10100.0
Smart TV,Electrónicos,1809400.0,94500.0,2023-01-10,Juan Fernandez,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,1714900.0
Olla de presión,Artículos para el hogar,77300.0,4300.0,2021-12-28,Santiago Silva,Riohacha,3,Tarjeta de crédito,1,11.54444,-72.90722,Tienda 1,73000.0
Auriculares con micrófono,Electrónicos,205700.0,9100.0,2022-04-13,Maria Alfonso,Medellín,5,Tarjeta de crédito,8,6.25184,-75.56359,Tienda 1,196600.0
Mesa de centro,Muebles,194100.0,10700.0,2022-01-02,Rafael Acosta,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,183400.0
Guitarra eléctrica,Instrumentos musicales,886100.0,45400.0,2022-03-27,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,840700.0
Mesa de noche,Muebles,276400.0,12900.0,2023-01-08,Felipe Santos,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,263500.0
Impresora,Electrónicos,254900.0,11800.0,2020-08-17,Beatriz Morales,Cartagena,2,Nequi,1,10.39972,-75.51444,Tienda 1,243100.0
Dashboards con Power BI,Libros,27600.0,1900.0,2021-01-25,Mariana Herrera,Cúcuta,1,Tarjeta de crédito,4,7.89391,-72.50782,Tienda 1,25700.0
Vaso térmico,Deportes y diversión,60500.0,1400.0,2022-07-19,Santiago Silva,Bogotá,1,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,59100.0
Lavavajillas,Electrodomésticos,1432800.0,76500.0,2020-09-04,Beatriz Morales,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 1,1356300.0
Cubo mágico 8x8,Juguetes,16600.0,0.0,2022-01-02,Blanca Ramirez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,16600.0
Batería,Instrumentos musicales,956800.0,51200.0,2020-05-26,Santiago Silva,Bogotá,4,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,905600.0
Cuerda para saltar,Deportes y diversión,24300.0,1500.0,2020-03-18,Izabela de León,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,22800.0
Ciencia de datos con Python,Libros,42600.0,0.0,2023-01-07,Blanca Ramirez,Medellín,2,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,42600.0
Sillón,Muebles,225600.0,10200.0,2021-04-12,Maria Alfonso,Cali,4,Nequi,1,3.43722,-76.5225,Tienda 1,215400.0
Balón de baloncesto,Deportes y diversión,28200.0,2000.0,2022-05-13,Beatriz Morales,Bogotá,4,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,26200.0
Set de ollas,Artículos para el hogar,197000.0,8700.0,2021-11-28,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,188300.0
Auriculares,Electrónicos,64900.0,1600.0,2022-09-12,Juan Fernandez,Bogotá,3,Tarjeta de crédito,10,4.60971,-74.08175,Tienda 1,63300.0
Set de vasos,Artículos para el hogar,38600.0,2500.0,2020-09-19,Maria Alfonso,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,36100.0
Vaso térmico,Deportes y diversión,27700.0,0.0,2023-01-12,Lucas Olivera,Bucaramanga,3,Tarjeta de crédito,1,7.12539,-73.1198,Tienda 1,27700.0
Iniciando en programación,Libros,61700.0,3700.0,2021-01-26,Rafael Acosta,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,58000.0
Smartwatch,Electrónicos,166700.0,7100.0,2023-03-17,Lucas Olivera,Cali,5,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 1,159600.0
Guitarra eléctrica,Instrumentos musicales,845400.0,43200.0,2022-02-12,Ángel Rodriguez,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,802200.0
Cubo mágico 8x8,Juguetes,9500.0,1000.0,2022-06-16,Ángel Rodriguez,Villavicencio,4,Tarjeta de crédito,6,4.142,-73.62664,Tienda 1,8500.0
Celular ABXY,Electrónicos,766100.0,39000.0,2022-07-11,Blanca Ramirez,Medellín,2,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 1,727100.0
Dashboards con Power BI,Libros,27900.0,6200.0,2021-11-30,Santiago Silva,Cali,1,Tarjeta de crédito,10,3.43722,-76.5225,Tienda 1,21700.0
Bicicleta,Deportes y diversión,686600.0,34700.0,2021-10-04,Mariana Herrera,Cali,1,Tarjeta de crédito,8,3.43722,-76.5225,Tienda 1,651900.0
Mesa de noche,Muebles,263500.0,12200.0,2022-09-19,Mariana Herrera,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,251300.0
Carrito de control remoto,Juguetes,72800.0,2100.0,2022-02-06,Lucas Olivera,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,70700.0
Set de ollas,Artículos para el hogar,94900.0,3200.0,2021-02-01,Juliana Costa,Cali,1,Tarjeta de crédito,3,3.43722,-76.5225,Tienda 1,91700.0
Balón de baloncesto,Deportes y diversión,70500.0,1900.0,2021-04-21,Beatriz Morales,Medellín,4,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,68600.0
Ajedrez de madera,Juguetes,33300.0,2200.0,2022-06-21,Juan Fernandez,Medellín,3,Nequi,1,6.25184,-75.56359,Tienda 1,31100.0
Mesa de noche,Muebles,282800.0,15300.0,2022-08-27,Juan Fernandez,Bogotá,3,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,267500.0
Iphone 15,Electrónicos,1701700.0,91800.0,2021-10-28,Izabela de León,Medellín,1,Tarjeta de crédito,6,6.25184,-75.56359,Tienda 1,1609900.0
Balón de baloncesto,Deportes y diversión,24300.0,0.0,2020-09-14,Blanca Ramirez,Leticia,5,Tarjeta de débito,1,-4.21528,-69.94056,Tienda 1,24300.0
Mesa de centro,Muebles,185700.0,8100.0,2020-06-02,Pedro Gomez,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,177600.0
Cubo mágico 8x8,Juguetes,16100.0,1300.0,2020-03-01,Maria Alfonso,Bogotá,1,Nequi,1,4.60971,-74.08175,Tienda 1,14800.0
Dinosaurio Rex,Juguetes,16900.0,0.0,2022-12-27,Blanca Ramirez,Bogotá,2,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,16900.0
Iniciando en programación,Libros,57600.0,3500.0,2022-01-25,Izabela de León,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,54100.0
Asistente virtual,Electrónicos,276900.0,12900.0,2021-12-11,Juan Fernandez,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 1,264000.0
Set de vasos,Artículos para el hogar,33200.0,0.0,2021-12-16,Pedro Gomez,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,33200.0
Kit de bancas,Muebles,227800.0,12800.0,2023-03-24,Juliana Costa,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,215000.0
Secadora de ropa,Electrodomésticos,740500.0,37600.0,2020-08-14,Izabela de León,Bogotá,5,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,702900.0
Secadora de ropa,Electrodomésticos,995400.0,51200.0,2022-12-01,Izabela de León,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,944200.0
Silla de oficina,Muebles,520900.0,27900.0,2021-02-23,Mariana Herrera,Cali,1,Tarjeta de crédito,10,3.43722,-76.5225,Tienda 1,493000.0
Refrigerador,Electrodomésticos,2121500.0,114200.0,2020-08-14,Pedro Gomez,Cali,4,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 1,2007300.0
Refrigerador,Electrodomésticos,2309600.0,121200.0,2022-01-16,Izabela de León,Cali,5,Tarjeta de crédito,2,3.43722,-76.5225,Tienda 1,2188400.0
Smart TV,Electrónicos,1811200.0,96800.0,2021-07-04,Ángel Rodriguez,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,1714400.0
Secadora de ropa,Electrodomésticos,1156100.0,62000.0,2021-01-25,Felipe Santos,Cali,5,Tarjeta de crédito,8,3.43722,-76.5225,Tienda 1,1094100.0
Iniciando en programación,Libros,56000.0,3200.0,2020-07-12,Pedro Gomez,Bogotá,1,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,52800.0
Set de ollas,Artículos para el hogar,102600.0,5900.0,2021-09-18,Felipe Santos,Cali,4,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 1,96700.0
Bloques de construcción,Juguetes,29400.0,1800.0,2021-07-15,Pedro Gomez,Armenia,1,Tarjeta de crédito,10,4.53389,-75.68111,Tienda 1,27600.0
Impresora,Electrónicos,334400.0,18200.0,2021-01-16,Mariana Herrera,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,316200.0
Tablet ABXY,Electrónicos,1165200.0,60200.0,2020-06-21,Maria Alfonso,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 1,1105000.0
Iphone 15,Electrónicos,2533200.0,133100.0,2022-12-29,Izabela de León,Cartagena,4,Tarjeta de crédito,1,10.39972,-75.51444,Tienda 1,2400100.0
Sofá reclinable,Muebles,678600.0,36800.0,2020-01-06,Beatriz Morales,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 1,641800.0
Cuerda para saltar,Deportes y diversión,15200.0,6100.0,2020-05-01,Ángel Rodriguez,Medellín,4,Nequi,1,6.25184,-75.56359,Tienda 1,9100.0
Sofá reclinable,Muebles,624000.0,42000.0,2022-02-25,Santiago Silva,Medellín,4,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 1,582000.0
Set de ollas,Artículos para el hogar,170800.0,7300.0,2020-01-15,Izabela de León,Bogotá,4,Nequi,1,4.60971,-74.08175,Tienda 1,163500.0
Cubo mágico 8x8,Juguetes,16300.0,0.0,2022-05-02,Mariana Herrera,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,16300.0
Ciencia de datos con Python,Libros,38000.0,6700.0,2021-10-10,Felipe Santos,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,31300.0
Smart TV,Electrónicos,1498500.0,78000.0,2021-09-16,Pedro Gomez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,1420500.0
Vaso térmico,Deportes y diversión,42900.0,2700.0,2021-09-13,Blanca Ramirez,Cali,3,Tarjeta de crédito,2,3.43722,-76.5225,Tienda 1,40200.0
Guitarra eléctrica,Instrumentos musicales,665400.0,35600.0,2020-06-25,Maria Alfonso,Medellín,2,Tarjeta de crédito,8,6.25184,-75.56359,Tienda 1,629800.0
Mesa de comedor,Muebles,176100.0,9600.0,2022-11-29,Ángel Rodriguez,Bogotá,3,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,166500.0
Cama box,Muebles,554300.0,30600.0,2022-04-27,Maria Alfonso,Cali,4,Nequi,1,3.43722,-76.5225,Tienda 1,523700.0
Lavavajillas,Electrodomésticos,1283500.0,69000.0,2020-09-13,Felipe Santos,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,1214500.0
Mesa de centro,Muebles,131100.0,7200.0,2022-07-08,Juliana Costa,Medellín,1,Cupón,1,6.25184,-75.56359,Tienda 1,123900.0
Muñeca bebé,Juguetes,39800.0,4500.0,2023-02-08,Juan Fernandez,Medellín,4,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,35300.0
Balón de voleibol,Deportes y diversión,59800.0,3400.0,2022-06-01,Blanca Ramirez,Medellín,5,Tarjeta de crédito,6,6.25184,-75.56359,Tienda 1,56400.0
Pandereta,Instrumentos musicales,80900.0,6700.0,2022-10-10,Juliana Costa,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,74200.0
Dashboards con Power BI,Libros,43900.0,3000.0,2020-04-08,Camila Rivera,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,40900.0
Balón de baloncesto,Deportes y diversión,64300.0,1600.0,2020-08-02,Blanca Ramirez,Bogotá,1,Cupón,1,4.60971,-74.08175,Tienda 1,62700.0
Asistente virtual,Electrónicos,158100.0,9100.0,2022-01-11,Rafael Acosta,Barranquilla,5,Tarjeta de crédito,2,10.96854,-74.78132,Tienda 1,149000.0
Silla de oficina,Muebles,301800.0,20900.0,2020-09-27,Lucas Olivera,Cartagena,1,Tarjeta de crédito,8,10.39972,-75.51444,Tienda 1,280900.0
Bloques de construcción,Juguetes,42900.0,2700.0,2020-03-26,Maria Alfonso,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,40200.0
Carrito de control remoto,Juguetes,55700.0,1200.0,2022-02-03,Pedro Gomez,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,54500.0
Ajedrez de madera,Juguetes,22900.0,0.0,2022-12-24,Felipe Santos,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 1,22900.0
Kit de bancas,Muebles,227500.0,10300.0,2020-03-10,Izabela de León,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,217200.0
Celular ABXY,Electrónicos,882200.0,52800.0,2023-02-13,Blanca Ramirez,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,829400.0
Impresora,Electrónicos,236200.0,19800.0,2023-01-08,Pedro Gomez,Medellín,4,Tarjeta de débito,1,6.25184,-75.56359,Tienda 1,216400.0
Auriculares,Electrónicos,76500.0,4700.0,2020-04-03,Mariana Herrera,Medellín,1,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,71800.0
Auriculares,Electrónicos,101100.0,3600.0,2023-01-24,Pedro Gomez,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 1,97500.0
Bloques de construcción,Juguetes,26800.0,1600.0,2022-04-11,Juan Fernandez,Bogotá,5,Cupón,1,4.60971,-74.08175,Tienda 1,25200.0
Cama box,Muebles,313400.0,14900.0,2021-09-27,Juan Fernandez,Leticia,5,Tarjeta de crédito,2,-4.21528,-69.94056,Tienda 1,298500.0
Microondas,Electrodomésticos,582500.0,29200.0,2022-11-13,Mariana Herrera,Barranquilla,5,Cupón,1,10.96854,-74.78132,Tienda 1,553300.0
Ciencia de datos con Python,Libros,50300.0,900.0,2022-11-10,Ángel Rodriguez,Medellín,1,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 1,49400.0
Silla de oficina,Muebles,481600.0,30300.0,2022-08-02,Lucas Olivera,Pereira,2,Nequi,1,4.81333,-75.69611,Tienda 1,451300.0
Mochila,Deportes y diversión,107100.0,8100.0,2022-04-25,Izabela de León,Pereira,5,Nequi,1,4.81333,-75.69611,Tienda 1,99000.0
Kit de bancas,Muebles,264900.0,14500.0,2022-02-22,Mariana Herrera,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,250400.0
Sofá reclinable,Muebles,654200.0,40700.0,2022-07-20,Juliana Costa,Bucaramanga,4,Tarjeta de crédito,1,7.12539,-73.1198,Tienda 1,613500.0
Cama box,Muebles,403100.0,19700.0,2022-04-30,Maria Alfonso,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,383400.0
Bicicleta,Deportes y diversión,460800.0,24900.0,2020-05-30,Mariana Herrera,Cali,3,Tarjeta de crédito,5,3.43722,-76.5225,Tienda 1,435900.0
Cubo mágico 8x8,Juguetes,19900.0,1300.0,2021-10-01,Santiago Silva,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,18600.0
Mesa de noche,Muebles,268200.0,12500.0,2020-09-23,Rafael Acosta,Medellín,4,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 1,255700.0
Mesa de centro,Muebles,202400.0,9000.0,2021-07-27,Santiago Silva,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,193400.0
Secadora de ropa,Electrodomésticos,1350500.0,70100.0,2021-08-07,Mariana Herrera,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,1280400.0
Cubertería,Artículos para el hogar,30600.0,2000.0,2022-04-19,Ángel Rodriguez,Cali,4,Tarjeta de crédito,3,3.43722,-76.5225,Tienda 1,28600.0
Dinosaurio Rex,Juguetes,15800.0,0.0,2022-11-04,Ángel Rodriguez,Medellín,5,Tarjeta de crédito,7,6.25184,-75.56359,Tienda 1,15800.0
Vaso térmico,Deportes y diversión,25300.0,1600.0,2020-05-24,Camila Rivera,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,23700.0
Cama king,Muebles,684100.0,36900.0,2022-08-20,Mariana Herrera,Pereira,4,Nequi,1,4.81333,-75.69611,Tienda 1,647200.0
Bicicleta,Deportes y diversión,450500.0,22200.0,2021-09-24,Pedro Gomez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,428300.0
Refrigerador,Electrodomésticos,2434000.0,127800.0,2021-03-03,Maria Alfonso,Cúcuta,5,Tarjeta de crédito,5,7.89391,-72.50782,Tienda 1,2306200.0
Lavadora de ropa,Electrodomésticos,1545100.0,80500.0,2022-03-01,Mariana Herrera,Pasto,4,Tarjeta de crédito,5,1.21361,-77.28111,Tienda 1,1464600.0
Olla de presión,Artículos para el hogar,90000.0,3000.0,2021-08-23,Pedro Gomez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,87000.0
Ajedrez de madera,Juguetes,31800.0,0.0,2021-02-19,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,31800.0
Bloques de construcción,Juguetes,41500.0,0.0,2021-04-15,Ángel Rodriguez,Barranquilla,4,Tarjeta de crédito,5,10.96854,-74.78132,Tienda 1,41500.0
Sillón,Muebles,188500.0,8200.0,2022-02-01,Santiago Silva,Manizales,4,Nequi,1,5.06889,-75.51738,Tienda 1,180300.0
TV LED UHD 4K,Electrónicos,2339200.0,131700.0,2022-12-22,Izabela de León,Medellín,1,Tarjeta de crédito,10,6.25184,-75.56359,Tienda 1,2207500.0
